Task Time,PC1 Time,PC2 Time,Gaze Calib,s_T_psm1,Tx,Ty,Tz,R00,R01,R02,R10,R11,R12,R20,R21,R22,s_T_psm3,Tx,Ty,Tz,R00,R01,R02,R10,R11,R12,R20,R21,R22,cart_T_ecm,Tx,Ty,Tz,R00,R01,R02,R10,R11,R12,R20,R21,R22,ecm_T_psm1,Tx,Ty,Tz,R00,R01,R02,R10,R11,R12,R20,R21,R22,ecm_T_psm3,Tx,Ty,Tz,R00,R01,R02,R10,R11,R12,R20,R21,R22,psm1_joints,q1,q2,q3,q4,q5,q6,jaw,psm3_joints,q1,q2,q3,q4,q5,q6,jaw,ecm_joints,q1,q2,q3,q4,ecmi_T_ecm,Tx,Ty,Tz,R00,R01,R02,R10,R11,R12,R20,R21,R22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lci_T_si,,,,,-0.078806676,0.00452464,0.33438998,0.9966525,-0.045751315,0.067754425,-0.015703475,-0.92045116,-0.39054194,0.08023245,0.3881706,-0.91808844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rci_T_si,,,,,-0.08983947,0.009858665,0.34597912,0.9956648,-0.0569898,0.07351057,-0.022098947,-0.9126243,-0.40820155,0.09035087,0.40480742,-0.9099273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecm_T_lc,,,,,-4.4071905E-05,-0.000346569,-0.018408367,-0.99912006,0.03075457,0.028518898,-0.03198801,-0.99852574,-0.04385276,0.027128182,-0.044726435,0.9986309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecm_T_rc,,,,,0.00057554984,0.029174112,-0.0048684436,-0.9955508,-0.052743625,-0.07808159,0.04863208,-0.9973746,0.053654663,-0.080706544,0.04961867,0.9955021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cart_T_ecmi,,,,,0.20658258,1.3419913,0.5569026,0.99420214,-0.04727794,-0.096575625,-0.08004408,-0.92512506,-0.3711288,-0.071798325,0.37670738,-0.92354566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecmac_T_ecmrep_psm1,,,,,0.013351295,-0.1340388,-0.3767514,0.9993409,0.017673537,0.03170847,-0.016076513,0.9986232,-0.04993267,-0.032547303,0.049389996,0.9982491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecmac_T_ecmrep_psm3,,,,,-0.010487383,-0.25930798,-0.6568002,0.9989584,-0.045224834,0.006069658,0.044999205,0.99843425,0.03322901,-0.0075629307,-0.03292127,0.99942935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,10:00:39.059109,NaN,0,,0.11363675,-0.039905466,0.03291942,0.5913022,-0.40504223,-0.69735396,-0.42400035,-0.8917015,0.15840507,-0.6859923,0.20201308,-0.6990032,,0.10014618,-0.00075754523,-0.0035596788,-0.63849986,0.10332216,0.7626549,0.21424744,0.9756387,0.047192812,-0.73919964,0.19352949,-0.64508164,,0.20660138,1.3419893,0.5569048,0.9942004,-0.047298063,-0.096583694,-0.08006571,-0.92512405,-0.3711267,-0.071798325,0.37670738,-0.92354566,,-0.06779757,0.12392846,-0.09053932,-0.5552351,0.362642,0.7484683,-0.6543531,-0.74595416,-0.12399389,0.51335764,-0.55860823,0.65147585,,-0.028540874,0.254448,-0.3187524,0.7183805,-0.13939518,-0.6815412,-0.10247914,0.9478232,-0.3018761,0.68806064,0.28670567,0.6666126,,0.937817789314328,-0.133147637484505,0.1720047201,-1.39716409343739,0.686461774821573,0.268622234334761,0.694865657335224,,-0.797912760564876,-0.426789109561143,0.23912272743,1.9754889575677,0.144698053251601,0.14648420056063,0.585098444892988,,-0.129819771424903,-0.40618175017038,0.08760750076,0.052333711583684,,1.8708408E-05,1.9073486E-06,-3.0994415E-06,1,-2.0084903E-05,-8.188188E-06,2.0092353E-05,1,-1.5795231E-06,8.188188E-06,1.5497208E-06,1
0.017449783044867,10:00:39.076890,NaN,0,,0.113638565,-0.03991562,0.032927647,0.59131545,-0.40497908,-0.6973795,-0.4239809,-0.8917225,0.1583392,-0.68599296,0.20204717,-0.6989926,,0.10017988,-0.0006696433,-0.0035388768,-0.63847405,0.10325782,0.76268524,0.21407464,0.97568035,0.047115743,-0.73927194,0.19335374,-0.64505154,,0.20660138,1.3419893,0.5569048,0.9942004,-0.047298063,-0.096583694,-0.08006571,-0.92512405,-0.3711267,-0.071798325,0.37670738,-0.92354566,,-0.06780027,0.12392226,-0.09055066,-0.55524755,0.362576,0.748491,-0.6543353,-0.7459603,-0.12405064,0.51336676,-0.5586429,0.6514389,,-0.02857804,0.25453326,-0.3187271,0.71836597,-0.13931109,-0.68157375,-0.102667235,0.9477848,-0.30193293,0.6880478,0.28687364,0.6665536,,0.937817789314328,-0.133155360217379,0.17200342381,-1.39716409343739,0.686461774821573,0.268622234334761,0.694865657335224,,-0.798144442551103,-0.426603763972162,0.23913309775,1.97527926762422,0.144698053251601,0.147219309221895,0.621524171640932,,-0.129819771424903,-0.40618175017038,0.08760750076,0.052333711583684,,1.8708408E-05,1.9073486E-06,-3.0994415E-06,1,-2.0084903E-05,-8.188188E-06,2.0092353E-05,1,-1.5795231E-06,8.188188E-06,1.5497208E-06,1
0.035152223019395,10:00:39.110346,10:00:32.288338,0,,0.113636196,-0.039942116,0.03294085,0.59131444,-0.40497506,-0.6973826,-0.42399696,-0.89171857,0.15831807,-0.68598396,0.20207241,-0.6989943,,0.1002665,-0.0004504174,-0.0034843683,-0.63826656,0.10332672,0.76284957,0.2136412,0.975801,0.046580255,-0.73957646,0.1927067,-0.64489603,,0.20660138,1.3419893,0.5569048,0.9942004,-0.047298063,-0.096583694,-0.08006571,-0.92512405,-0.3711267,-0.071798325,0.37670738,-0.92354566,,-0.06779962,0.12390287,-0.09057315,-0.55524766,0.36257035,0.7484937,-0.65434664,-0.74594694,-0.12407079,0.5133522,-0.5586643,0.65143204,,-0.028673617,0.254747,-0.31866616,0.7182022,-0.13930464,-0.6817477,-0.103204444,0.9475937,-0.30234918,0.6881384,0.28750724,0.666187,,0.937810066581453,-0.133240310278995,0.17199953494,-1.39716409343739,0.686461774821573,0.268867270555183,0.688658582822121,,-0.798661865653676,-0.426009113540847,0.23914476436,1.97444050785028,0.144561416751836,0.145942188543202,0.712996848676129,,-0.129819771424903,-0.40618175017038,0.08760750076,0.052333711583684,,1.8708408E-05,1.9073486E-06,-3.0994415E-06,1,-2.0084903E-05,-8.188188E-06,2.0092353E-05,1,-1.5795231E-06,8.188188E-06,1.5497208E-06,1
0.068670533015393,10:00:39.130045,10:00:32.288338,0,,0.113634095,-0.039950296,0.032943323,0.5913236,-0.40493655,-0.69739723,-0.4239738,-0.8917347,0.15828897,-0.68599033,0.2020782,-0.6989863,,0.100286484,-0.00039687753,-0.003471911,-0.63815993,0.10353001,0.7629112,0.2136338,0.97581697,0.046278268,-0.7396706,0.19251657,-0.6448449,,0.20660138,1.3419893,0.5569048,0.9942004,-0.047298063,-0.096583694,-0.08006571,-0.92512405,-0.3711267,-0.071798325,0.37670738,-0.92354566,,-0.06779795,0.12389627,-0.09057872,-0.5552557,0.3625311,0.7485067,-0.65432775,-0.7459596,-0.12409461,0.51336765,-0.55867296,0.6514125,,-0.028695693,0.2547989,-0.31865063,0.7181076,-0.1394842,-0.68181056,-0.103260845,0.947508,-0.3025984,0.68822867,0.28770253,0.6660094,,0.937802343848579,-0.133263478477618,0.17199953494,-1.39716409343739,0.686598411321338,0.268674173911346,0.681471443912213,,-0.798800874845412,-0.425800599753243,0.23914735694,1.97444050785028,0.144561416751836,0.144880364921375,0.735211641670391,,-0.129819771424903,-0.40618175017038,0.08760750076,0.052333711583684,,1.8708408E-05,1.9073486E-06,-3.0994415E-06,1,-2.0084903E-05,-8.188188E-06,2.0092353E-05,1,-1.5795231E-06,8.188188E-06,1.5497208E-06,1
